TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz
234,1,Stim,1,1,740.592333333333,741.5654,-0.0609333333334234,0.97300000000007,1000.00000002365,3,-0.3636,-1,1,16,6,3,3.08324768756401
235,1,NonStim,0,1,743.967633333333,744.941033333333,NaN,0.974000000000046,1000.00000002365,1,0.3636,1,1,15,6,2,2.05338809034898
236,1,NonStim,0,1,747.1435,748.116966666667,NaN,0.972999999999956,1000.00000002365,4,0.6363,1,1,12,8,1,1.02774922918812
238,1,Stim,1,1,753.552766666667,754.5179,-0.0484000000000151,0.965000000000032,1000.00000002365,1,0.3636,1,1,9,8,3,3.10880829015534
239,1,NonStim,0,1,756.927433333333,757.9028,NaN,0.975000000000023,1000.00000002365,1,-0.0909,-1,1,11,4,2,2.051282051282
240,1,Stim,1,1,760.378333333333,761.3462,-0.0546333333332996,0.967999999999961,1000.00000002365,1,0.1818,1,1,11,4,1,1.03305785123971
241,1,Stim,1,1,763.570066666667,764.528466666667,-0.0587333333332936,0.95799999999997,1000.00000002365,2,0.0909,1,1,18,7,2,2.08768267223389
242,1,NonStim,0,1,766.812266666667,767.7865,NaN,0.973999999999933,1000.00000002365,3,-0.3636,-1,1,15,13,4,4.10677618069844
243,1,NonStim,0,1,770.179633333333,771.163766666667,NaN,0.984000000000037,1000.00000002365,1,-0.6363,-1,1,12,5,2,2.03252032520317
244,1,NonStim,0,1,773.539,774.5037,NaN,0.965000000000032,1000.00000002365,1,-1,-1,1,15,2,0,0
245,1,Stim,1,1,776.8729,777.847266666667,-0.0579999999999927,0.974999999999909,1000.00000002365,2,-0.6363,-1,0,13,5,2,2.05128205128224
246,1,Stim,1,1,780.064333333333,781.040133333333,-0.055066666666562,0.975999999999885,1000.00000002365,3,0.6363,1,1,11,8,3,3.07377049180364
247,1,Stim,1,1,783.3312,784.305133333333,-0.0586999999999307,0.973999999999933,1000.00000002365,3,0.4545,1,1,17,9,3,3.08008213552383
248,1,NonStim,0,1,786.657266666667,787.6311,NaN,0.973999999999933,1000.00000002365,2,1,1,0,19,13,4,4.10677618069844
249,1,Stim,1,1,789.957133333333,790.931566666667,-0.053133333333335,0.974000000000046,1000.00000002365,2,-0.4545,-1,0,13,12,2,2.05338809034898
250,1,NonStim,0,1,793.208266666667,794.173633333333,NaN,0.965000000000032,1000.00000002365,4,-0.0909,-1,0,16,6,4,4.14507772020712
