TrialIndex,TrialType,IsStim,Condition,SignedCoherence,ElectricalStimOnRelVisualS,EventNumberInTrial,DetectionSource,OnsetRelVisualStimS,OffsetRelVisualStimS,OnsetRelElectricalStimS,DurationMs,LeftAmplitudeDeg,RightAmplitudeDeg,MeanAmplitudeDeg,LeftPeakVelocityDegS,RightPeakVelocityDegS,PeakVelocityDegS,MeanDXDeg,MeanDYDeg,DirectionDeg,InterocularOnsetLagMs,InterocularDirectionDiffDeg
36,Stim,1,2,-0.4545,-0.0533333333333417,1,Right,0.221266666666651,0.228266666666656,0.274599999999992,8.0000000000382,NaN,0.104261208597433,0.104261208597433,NaN,16.6464650574815,16.6464650574815,0.0465423220631527,-0.0932963658197208,296.513018006019,NaN,NaN
36,Stim,1,2,-0.4545,-0.0533333333333417,2,Left,0.222266666666656,0.227266666666651,0.275599999999997,6.00000000002865,0.107626956976714,NaN,0.107626956976714,16.9112875787028,NaN,16.9112875787028,0.0398934139117658,-0.0999603791235904,291.756559680455,NaN,NaN
37,Stim,1,1,0.0909,-0.0645666666666784,1,Left,0.0357999999999663,0.0437999999999761,0.100366666666645,9.00000000004297,0.0426115935667043,NaN,0.0426115935667043,8.9542091414287,NaN,8.9542091414287,-0.0332445329033262,-0.0266561238430057,218.72332826962,NaN,NaN
39,NonStim,0,4,0.0909,NaN,1,Left,0.408166666666688,0.414166666666659,NaN,7.00000000003342,0.0656084685423936,NaN,0.0656084685423936,11.1618464993726,NaN,11.1618464993726,-0.0265956275700897,0.0599761930988566,113.914241452957,NaN,NaN
39,NonStim,0,4,0.0909,NaN,2,Left,0.68216666666666,0.687166666666684,NaN,6.00000000002865,0.0614327729143442,NaN,0.0614327729143442,11.1067187903642,NaN,11.1067187903642,-0.0132978109610292,0.0599762770734406,102.501266073687,NaN,NaN
40,Stim,1,2,-0.6363,-0.0504999999999995,1,Right,0.662666666666667,0.670666666666648,0.713166666666666,9.00000000004297,NaN,0.104261210978658,0.104261210978658,NaN,13.909428654905,13.909428654905,0.0465423265634955,-0.0932963662357396,296.513020116994,NaN,NaN
41,NonStim,0,1,0.0909,NaN,1,Left,0.0302333333333422,0.0362333333333424,NaN,7.00000000003342,0.0685736879879023,NaN,0.0685736879879023,10.4713806338084,NaN,10.4713806338084,-0.033244534218916,0.0599762588765713,118.999379608553,NaN,NaN
42,NonStim,0,3,-0.0909,NaN,1,Left,0.381399999999985,0.386399999999981,NaN,6.00000000002865,0.0656085319840992,NaN,0.0656085319840992,11.5935824255988,NaN,11.5935824255988,0.0265956070186465,-0.0599762716115155,293.914197252084,NaN,NaN
42,NonStim,0,3,-0.0909,NaN,2,Right,0.431399999999996,0.436399999999992,NaN,6.00000000002865,NaN,0.0744723327143665,0.0744723327143665,NaN,13.415087730467,13.415087730467,0.0332445310943763,-0.06664029931081,296.513015508756,NaN,NaN
43,NonStim,0,1,0.1818,NaN,1,Left,0.235666666666674,0.241666666666674,NaN,7.00000000003342,0.0332445345301522,NaN,0.0332445345301522,8.66656016247766,NaN,8.66656016247766,-0.0332445345301522,0,180,NaN,NaN
