TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz,MeanMicrosaccadeAmplitudeDeg,MeanMicrosaccadePeakVelocityDegS,MeanMicrosaccadeDurationMs,TrialDirectionX,TrialDirectionY,TrialMeanDirectionDeg,TrialDirectionResultantLength,LeftThresholdXDegS,LeftThresholdYDegS,RightThresholdXDegS,RightThresholdYDegS
1047,1,Stim,1,1,3462.58436666667,3463.5589,-0.0545999999999367,0.97400000000016,999.999999796273,2,0.3636,1,1,3,0,3,3.08008213552311,0.0643455637341769,9.89218160565457,6.66666666802485,0.0893139241668232,-0.464075430576435,280.893700127825,0.472591771315139,6.6489069516578,6.6640180049538,13.2978105165641,6.66402561900147
1049,1,NonStim,0,1,3469.10136666667,3470.08363333333,NaN,0.982000000000426,999.999999796273,2,-0.4545,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2978138130337,16.9544756611872,19.9467013011826,6.66403031552439
1050,1,NonStim,0,1,3472.694,3473.66756666667,NaN,0.97400000000016,999.999999796273,4,0.4545,1,1,1,1,2,2.05338809034874,0.189641319488311,20.6297493062589,12.0000000024447,0.544174290757322,-0.825307299343713,303.399244853699,0.98856350178997,6.64890715109554,19.7569553938914,13.2978141687615,6.66402903410206
1051,1,Stim,1,1,3476.1948,3477.15163333333,-0.0689666666667108,0.95699999999988,999.999999796273,3,0.3636,1,1,3,1,4,4.17972831765988,0.110969799789298,15.42852934399,7.50000000152795,0.416638275578377,0.201825756711078,25.8462356391014,0.462948257096755,13.2977941977673,6.66401913303131,13.2978132319697,19.9918138774259
1052,1,NonStim,0,1,3479.58693333333,3480.55073333333,NaN,0.964000000000397,999.999999796273,2,0.0909,1,1,2,2,4,4.14937759335929,0.127340056214264,16.2985359230764,9.5000000019354,0.595574224460503,-0.712657033342647,309.885823371912,0.928756536458545,13.2978092667765,6.66403081460607,13.2978132420982,6.66403070353222
1054,1,NonStim,0,1,3486.16286666667,3487.1269,NaN,0.964000000000397,999.999999796273,3,-1,-1,1,2,0,2,2.07468879667964,0.052224683733967,9.15805526673977,6.50000000132422,0.427731860336236,0.0270710077778471,3.62140079047549,0.428587661755219,6.64890696628995,6.664027394605,13.2978135909086,10.5367262545059
1055,1,NonStim,0,1,3489.55466666667,3490.5374,NaN,0.983000000000175,999.999999796273,4,-0.4545,-1,1,1,0,1,1.01729399796523,0.0904526990535662,15.8678940462154,6.00000000122236,0.955590829588758,0.294696736333929,17.1393532511855,1,13.2978015200862,6.66403065169374,13.2978143045191,6.66403007247722
1056,1,NonStim,0,1,3492.9296,3493.8946,NaN,0.965000000000146,999.999999796273,3,0.4545,1,1,1,0,1,1.03626943005166,0.109142443010638,14.458000576192,8.00000000162981,0.791953835707968,0.610580970967354,37.6315228123314,1,6.64890657785789,17.465616964268,13.2978138292729,6.66402479522506
1057,1,NonStim,0,1,3496.2716,3497.24533333333,NaN,0.97400000000016,999.999999796273,4,-0.1818,-1,1,1,0,1,1.02669404517437,0.0533122473092026,8.88537512067361,6.00000000122236,0,-1,270,1,13.2978080940002,6.66402854585568,13.297813164777,6.66403104871628
1058,1,NonStim,0,1,3499.7721,3500.7535,NaN,0.981000000000222,999.999999796273,1,-0.1818,-1,1,1,2,3,3.05810397553448,0.134021845503721,17.5498815128323,10.0000000020373,0.684104135773181,-0.0443858767871266,356.287752526263,0.685542540357732,6.64890621215594,18.6423981414496,19.946690200469,6.66403034115846
1059,1,NonStim,0,1,3503.16426666667,3504.12093333333,NaN,0.956000000000131,999.999999796273,3,0.6363,1,1,2,4,6,6.2761506276142,0.139682047193126,16.7714529656148,10.5000000021391,0.155837801101521,0.0551261132021733,19.4807401719465,0.165300661247727,13.2978126391226,6.66399724517273,19.9466953421198,6.66403077245517
1061,1,NonStim,0,1,3509.87303333333,3510.84643333333,NaN,0.973000000000411,999.999999796273,2,0.4545,1,1,1,0,1,1.02774922918764,0.0888990321597277,11.1067110598969,10.0000000020373,0.224374768097111,0.974502931468843,77.033884987715,1,13.2977907476334,6.66403055123995,19.9466922425381,6.66402229196675
1062,1,NonStim,0,1,3513.2406,3514.23343333333,NaN,0.993000000000393,999.999999796273,4,0.1818,1,1,3,3,6,6.04229607250516,0.127503878052426,17.2565304897763,8.50000000173168,-0.334018457188195,-0.0765234877814641,192.903756550916,0.342672108471965,19.9467163599764,6.66403152569309,19.9467213204587,6.66402932021595
1063,1,Stim,1,1,3516.88413333333,3517.84803333333,-0.0540000000000873,0.963999999999942,999.999999796273,4,-0.6363,-1,1,2,0,2,2.07468879668062,0.0582767693747774,8.43045169023732,7.00000000142609,-0.326445094309805,0.920425786802772,109.527940863126,0.976601263879194,13.2977876704633,6.66402949243026,13.2978127731196,6.66402335096644
1064,1,NonStim,0,1,3520.36623333333,3521.36696666667,NaN,1,999.999999796273,4,1,1,1,1,1,2,2,0.0598749346652357,9.88210530211288,6.50000000132422,-0.439778766901603,0.892564940182131,116.230088661559,0.99502639978034,13.2977975823558,6.66402585164845,13.2978109367494,6.66402994677749
1065,1,Stim,1,1,3524.0428,3525.0106,-0.0570666666667421,0.968000000000302,999.999999796273,1,0.4545,1,1,1,0,1,1.03305785123935,0.0549456747782019,10.4713828442821,6.00000000122236,-0.242017489379928,0.970271887067865,104.005644864023,1,6.64890692000155,6.66403112812041,13.2978131629676,6.66402749047213
1066,1,Stim,1,1,3527.46706666667,3528.44283333333,-0.0506000000000313,0.975000000000364,999.999999796273,3,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2978055217815,6.66402570914556,19.9467126677162,6.66402857171743
1067,1,NonStim,0,1,3530.94343333333,3531.9184,NaN,0.975000000000364,999.999999796273,2,-0.0909,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2977951229785,6.66402912582591,19.9467021506107,6.66403027167417
1070,1,NonStim,0,1,3541.85483333333,3542.85266666667,NaN,0.998000000000047,999.999999796273,1,-1,-1,1,1,1,2,2.00400801603197,0.0441329099402106,9.07496686922199,6.50000000132422,-0.121008665813087,-0.0148640367916055,187.002817774232,0.12191815611961,6.64890650774995,6.66402852612536,13.2978056094595,6.66403139705595
1071,1,NonStim,0,1,3545.2539,3546.21963333333,NaN,0.966000000000349,999.999999796273,3,-0.6363,-1,1,2,2,4,4.1407867494809,0.227598196574567,20.9484800352379,13.5000000027503,0.303924387686021,0.121308982108403,21.7590168824438,0.327239824242862,6.64890422372038,6.66399045023035,19.9466049458287,6.66401318501441
1072,1,Stim,1,1,3548.72843333333,3549.7011,-0.0551000000000386,0.973000000000411,999.999999796273,2,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.297812952237,6.66401328457518,13.2978142991139,6.66403110778067
