MIDTableRow,Monkey,ROI,Tetrode,Unit,Population,OriginalCondition2MonoLMaximum,OriginalCondition3MonoRMaximum,StoredAlignedOD,ReconstructedAlignedOD,Valid,SignMatch,DominantEye,OriginalDominantCondition,DecoderCondition2DominantMaximum,DecoderCondition3NonDominantMaximum,PostSwapDominantGreaterOrEqual
293,Clay,MT,7,4,2D,121.5968527184,119.557893042587,-0.00845498465882958,-0.00845498465882958,1,1,Left,2,121.5968527184,119.557893042587,1
294,Clay,MT,8,3,2Donly,49.8275290872732,51.2988535151141,0.0145493627872153,0.0145493627872153,1,1,Right,3,51.2988535151141,49.8275290872732,1
296,Clay,MT,3,2,2D,41.5480719597202,43.9154738600816,0.0277007217247109,0.0277007217247109,1,1,Right,3,43.9154738600816,41.5480719597202,1
297,Clay,MT,3,3,2D,55.5427557028359,59.5848883691205,0.0351100094062398,0.0351100094062398,1,1,Right,3,59.5848883691205,55.5427557028359,1
298,Clay,MT,4,2,3D,32.7065582192194,43.893842500965,0.146047333650537,0.146047333650537,1,1,Right,3,43.893842500965,32.7065582192194,1
300,Clay,MT,4,4,2D,23.79344373552,30.916494723979,0.130196655105582,0.130196655105582,1,1,Right,3,30.916494723979,23.79344373552,1
301,Clay,MT,5,2,2D,42.9147609539301,58.0916821556547,0.15025696118473,0.15025696118473,1,1,Right,3,58.0916821556547,42.9147609539301,1
302,Clay,MT,5,3,2D,66.7661393267068,77.9551264503396,0.0773140496219141,0.0773140496219141,1,1,Right,3,77.9551264503396,66.7661393267068,1
303,Clay,MT,5,4,2Donly,41.4952103080508,37.8299136200174,-0.046206000148921,-0.046206000148921,1,1,Left,2,41.4952103080508,37.8299136200174,1
307,Clay,MT,6,4,2D,7.57349487788744,10.7048454085338,0.171314817515056,0.171314817515056,1,1,Right,3,10.7048454085338,7.57349487788744,1
308,Clay,MT,7,2,2Donly,30.993557043211,30.9121889672736,-0.00131438648560413,-0.00131438648560413,1,1,Left,2,30.993557043211,30.9121889672736,1
309,Clay,MT,7,3,2Donly,33.7523946473978,32.0151815978759,-0.0264144301599797,-0.0264144301599797,1,1,Left,2,33.7523946473978,32.0151815978759,1
310,Clay,MT,7,4,2Donly,21.4280670384287,21.6328467761357,0.0047555827214654,0.0047555827214654,1,1,Right,3,21.6328467761357,21.4280670384287,1
311,Clay,MT,8,2,2Donly,41.3096438983683,42.2069552231604,0.0107441075693992,0.0107441075693992,1,1,Right,3,42.2069552231604,41.3096438983683,1
318,Clay,MT,3,2,2D,11.0157849680163,14.0726445376794,0.121843400718614,0.121843400718614,1,1,Right,3,14.0726445376794,11.0157849680163,1
319,Clay,MT,3,3,2D,60.3518462461778,74.8828214533403,0.107450075149734,0.107450075149734,1,1,Right,3,74.8828214533403,60.3518462461778,1
322,Clay,MT,4,2,3D,18.5252383357066,25.6485628586879,0.161256770537674,0.161256770537674,1,1,Right,3,25.6485628586879,18.5252383357066,1
323,Clay,MT,4,3,2D,46.770253667322,51.4325761741718,0.0474764578004028,0.0474764578004028,1,1,Right,3,51.4325761741718,46.770253667322,1
326,Clay,MT,4,6,2D,29.8405542128079,26.3228118903702,-0.0626341077202393,-0.0626341077202393,1,1,Left,2,29.8405542128079,26.3228118903702,1
328,Clay,MT,5,4,2D,56.9814992513379,57.2610533913284,0.00244702287828623,0.00244702287828623,1,1,Right,3,57.2610533913284,56.9814992513379,1
333,Clay,MT,7,2,2D,63.4579856262965,64.2694336759682,0.0063529667639441,0.0063529667639441,1,1,Right,3,64.2694336759682,63.4579856262965,1
334,Clay,MT,7,3,2D,34.1593396440245,34.0099701037316,-0.00219115524046777,-0.00219115524046777,1,1,Left,2,34.1593396440245,34.0099701037316,1
335,Clay,MT,7,4,2D,40.5916500691387,32.8483127133969,-0.105437653592918,-0.105437653592918,1,1,Left,2,40.5916500691387,32.8483127133969,1
336,Clay,MT,8,2,2D,58.7354776392176,69.756978376089,0.0857754694607013,0.0857754694607013,1,1,Right,3,69.756978376089,58.7354776392176,1
337,Clay,MT,3,3,2Donly,26.5199916411441,25.418174252006,-0.0212140219083748,-0.0212140219083748,1,1,Left,2,26.5199916411441,25.418174252006,1
338,Clay,MT,5,2,2D,41.7316130222925,47.3821704892254,0.0634083443017841,0.0634083443017841,1,1,Right,3,47.3821704892254,41.7316130222925,1
339,Clay,MT,5,3,2D,31.4046440710014,33.5201777469041,0.0325843585961013,0.0325843585961013,1,1,Right,3,33.5201777469041,31.4046440710014,1
341,Clay,MT,6,3,2Donly,34.6667937604451,34.1203934557129,-0.00794334420180938,-0.00794334420180938,1,1,Left,2,34.6667937604451,34.1203934557129,1
342,Clay,MT,6,4,2D,26.7331926197126,22.0311413771819,-0.0964239815687853,-0.0964239815687853,1,1,Left,2,26.7331926197126,22.0311413771819,1
343,Clay,MT,7,2,2D,43.3917540756905,52.5010405310979,0.094994483086663,0.094994483086663,1,1,Right,3,52.5010405310979,43.3917540756905,1
345,Clay,MT,8,2,2D,152.048949344256,154.875598082931,0.00920958835769314,0.00920958835769314,1,1,Right,3,154.875598082931,152.048949344256,1
346,Clay,MT,8,3,2D,47.8714861415009,40.5674157255806,-0.0825888863579274,-0.0825888863579274,1,1,Left,2,47.8714861415009,40.5674157255806,1
359,Jim,FST,2,4,2Donly,61.6183244802594,61.9618343639738,0.00277965238859549,0.00277965238859549,1,1,Right,3,61.9618343639738,61.6183244802594,1
362,Jim,FST,2,2,3D,34.9933415440717,28.4229432195269,-0.103607430631386,-0.103607430631386,1,1,Left,2,34.9933415440717,28.4229432195269,1
372,Jim,FST,2,2,3D,14.1815784865263,19.5320002969087,0.158702279717967,0.158702279717967,1,1,Right,3,19.5320002969087,14.1815784865263,1
378,Jim,FST,1,3,2Donly,26.9827613012968,27.4543896976181,0.00866372298452422,0.00866372298452422,1,1,Right,3,27.4543896976181,26.9827613012968,1
381,Jim,FST,3,2,2D,60.042498298803,45.7251310899262,-0.135366248554707,-0.135366248554707,1,1,Left,2,60.042498298803,45.7251310899262,1
382,Jim,FST,3,3,2D,35.5621565303776,20.7449819037024,-0.263149132396809,-0.263149132396809,1,1,Left,2,35.5621565303776,20.7449819037024,1
383,Jim,FST,3,4,2D,18.7651784464037,10.8013893481356,-0.269351152071799,-0.269351152071799,1,1,Left,2,18.7651784464037,10.8013893481356,1
384,Jim,FST,4,2,3D,91.368179860345,73.5685776751745,-0.107917740418399,-0.107917740418399,1,1,Left,2,91.368179860345,73.5685776751745,1
386,Jim,FST,5,3,3D,18.2567211847175,13.5142642023576,-0.149270062750058,-0.149270062750058,1,1,Left,2,18.2567211847175,13.5142642023576,1
396,Jim,FST,5,2,3D,33.1393934794067,33.1797348123053,0.000608291060781076,0.000608291060781076,1,1,Right,3,33.1797348123053,33.1393934794067,1
404,Jim,FST,5,2,2D,30.8295799799062,31.7302708668933,0.0143972671736835,0.0143972671736835,1,1,Right,3,31.7302708668933,30.8295799799062,1
407,Jim,FST,2,4,2D,26.3471168950836,24.6189402145325,-0.0339083848851454,-0.0339083848851454,1,1,Left,2,26.3471168950836,24.6189402145325,1
409,Jim,FST,3,3,3D,24.6634843333488,23.1475924092283,-0.0317058729357282,-0.0317058729357282,1,1,Left,2,24.6634843333488,23.1475924092283,1
414,Jim,FST,5,3,2D,24.4320007560789,23.8349152552448,-0.0123704920507868,-0.0123704920507868,1,1,Left,2,24.4320007560789,23.8349152552448,1
422,Jim,FST,1,2,3D,17.8727088040595,15.2415541004513,-0.079456840431434,-0.079456840431434,1,1,Left,2,17.8727088040595,15.2415541004513,1
428,Jim,FST,4,2,3D,54.4507158968385,65.6289382810687,0.0930900614326283,0.0930900614326283,1,1,Right,3,65.6289382810687,54.4507158968385,1
429,Jim,FST,4,3,3D,6.20891422384003,8.65134003096993,0.164359624354297,0.164359624354297,1,1,Right,3,8.65134003096993,6.20891422384003,1
439,Jim,FST,1,2,3D,33.6296758313054,26.9159549651679,-0.110886958775044,-0.110886958775044,1,1,Left,2,33.6296758313054,26.9159549651679,1
440,Jim,FST,1,3,3D,25.2424341284377,31.7348228808967,0.113947021903763,0.113947021903763,1,1,Right,3,31.7348228808967,25.2424341284377,1
