RowIndex,NewSourceRow,RefSourceRow,NewMonkey,NewDate,NewROI,NewStimElec,TuningMeanFullEqual,TuningMeanFullMaxAbsDiff,TuningMeanFullNonNanDiffCount,TuningMeanFullSizeMismatch,TuningMeanFullNoZeroEqual,TuningMeanFullNoZeroMaxAbsDiff,TuningMeanFullNoZeroNonNanDiffCount,TuningMeanFullNoZeroSizeMismatch,TuningMeanFullEdge8Equal,TuningMeanFullEdge8MaxAbsDiff,TuningMeanFullEdge8NonNanDiffCount,TuningMeanFullEdge8SizeMismatch,TuningMeanStimEqual,TuningMeanStimMaxAbsDiff,TuningMeanStimNonNanDiffCount,TuningMeanStimSizeMismatch,TuningMeanStimNoZeroEqual,TuningMeanStimNoZeroMaxAbsDiff,TuningMeanStimNoZeroNonNanDiffCount,TuningMeanStimNoZeroSizeMismatch,TuningMeanStimEdge8Equal,TuningMeanStimEdge8MaxAbsDiff,TuningMeanStimEdge8NonNanDiffCount,TuningMeanStimEdge8SizeMismatch,TuningStimMaxDiff_Combined,TuningStimMaxDiff_MonoL,TuningStimMaxDiff_MonoR,TuningStimMaxDiff_Stereo
83,83,83,Jim,22-Feb-2024,MT,4,0,NaN,NaN,1,0,NaN,NaN,1,0,7.78004528645833,352,0,0,NaN,NaN,1,0,NaN,NaN,1,0,2.15753391338529,22,0,NaN,NaN,NaN,NaN
84,84,84,Jim,01-Mar-2024,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,0,1.24041962003451,16,0,0,NaN,NaN,1,0,NaN,NaN,1,0,0.169778482948647,1,0,NaN,NaN,NaN,NaN
85,85,85,Jim,05-Mar-2024,FST,12,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
86,86,86,Jim,06-Mar-2024,FST,3,0,NaN,NaN,1,0,NaN,NaN,1,0,5.70175175823712,496,0,0,NaN,NaN,1,0,NaN,NaN,1,0,5.70175175823712,31,0,NaN,NaN,NaN,NaN
87,87,87,Jim,08-Mar-2024,MT,3,0,NaN,NaN,1,0,NaN,NaN,1,0,4.2706753629522,272,0,0,NaN,NaN,1,0,NaN,NaN,1,0,4.14759771013388,17,0,NaN,NaN,NaN,NaN
88,88,88,Jim,12-Mar-2024,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
89,89,89,Jim,13-Mar-2024,MT,11,0,NaN,NaN,1,0,NaN,NaN,1,0,1.68902695438409,16,0,0,NaN,NaN,1,0,NaN,NaN,1,0,0.547206376458985,1,0,NaN,NaN,NaN,NaN
90,90,90,Jim,14-Mar-2024,MT,14,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
91,91,91,Jim,19-Mar-2024,MT,16,0,NaN,NaN,1,0,NaN,NaN,1,0,5.27540567067346,208,0,0,NaN,NaN,1,0,NaN,NaN,1,0,3.63748587347025,13,0,NaN,NaN,NaN,NaN
92,92,92,Jim,20-Mar-2024,FST,2,0,NaN,NaN,1,0,NaN,NaN,1,0,3.232374883175,176,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.49800965061851,11,0,NaN,NaN,NaN,NaN
