WorkbookTableRow,ExcelRow,Date,AssignedROI,HoleX,HoleY,GuideTubeMm,DepthMm,TotalDepthMm,OffsetMLMm,OffsetAPMm,OffsetDVMm,NativeI,NativeJ,NativeK,TargetAtlasLabel,NativeAtlasLabel,NativeCorrect,CurrentSagittalAtlasLabel,CurrentSagittalCorrect,MaximumMatchAtlasLabel,MaximumMatchCorrect,RecommendedAtlasLabel,RecommendedCorrect,RecommendedUmm,RecommendedVmm,RecommendedSignedDistanceMm,RecommendedAbsoluteDistanceMm,WithinOneMmSlab,SiteMultiplicity
69,70,14-May-2025,MT,21,21,24,9.3,33.3,0,0,-2,163.8,146.4,56.2,25,25,1,25,1,25,1,25,1,-2.58400505849002,-2.10688537852517,-0.240789758532736,0.240789758532736,1,1
70,71,15-May-2025,FST,23,27,24,12.9,36.9,0,0,0,167,135.2,65.8,24,24,1,0,0,24,1,24,1,3.46958214181987,2.4000971670401,-0.275291094946523,0.275291094946523,1,1
71,72,16-May-2025,FST,21,25,24,10.77,34.77,0,0,0,163.8,139.46,62.6,24,0,0,24,1,24,1,24,1,1.68864502416698,-0.128714081220106,-0.575751830549171,0.575751830549171,1,1
72,73,27-May-2025,FST,22,25,24,11.1,35.1,0,0,0,165.4,138.8,62.6,24,24,1,24,1,24,1,24,1,1.57679176459528,0.716684077918863,-0.428473859190172,0.428473859190172,1,1
73,74,28-May-2025,MT,22,21,24,6.9,30.9,0,0,0,165.4,147.2,56.2,25,25,1,25,1,25,1,25,1,-3.05860331922593,-1.67764429345902,0.384117099965123,0.384117099965123,1,1
74,75,29-May-2025,FST,24,27,24,12.9,36.9,0,0,0,168.6,135.2,65.8,24,24,1,0,0,24,1,24,1,3.19374826528352,3.05736952557081,0.0879013048451127,0.0879013048451127,1,2
75,76,24-Jun-2025,FST,23,25,24,11.3,35.3,0,0,0,167,138.4,62.6,24,24,1,0,0,24,1,24,1,1.40034008015872,1.48797207318185,-0.196138688751651,0.196138688751651,1,1
76,77,25-Jun-2025,MT,21,21,24,9,33,0,0,-2,163.8,147,56.2,25,25,1,25,1,25,1,25,1,-2.7330783466397,-2.27790883362359,-0.0445039145030671,0.0445039145030671,1,2
77,78,17-Jul-2025,MT,20,20,24,7.2,31.2,0,0,-2,163,150.6,54.6,25,25,1,0,0,25,1,25,1,-4.12669339970103,-3.63268574347948,0.467762235464112,0.467762235464112,1,1
78,79,30-Jul-2025,MT,21,21,24,9,33,0,0,-2,163.8,147,56.2,25,25,1,25,1,25,1,25,1,-2.7330783466397,-2.27790883362359,-0.0445039145030671,0.0445039145030671,1,2
80,81,05-Aug-2025,FST,22,25,24,10.6,34.6,0,0,0,165.4,139.8,62.6,24,24,1,24,1,24,1,24,1,1.32833628434581,0.431644986088161,-0.101330785807386,0.101330785807386,1,1
81,82,07-Aug-2025,MT,22,21,24,9.2,33.2,0,0,-2,165.4,146.6,56.2,25,25,1,25,1,25,1,25,1,-2.90953003107625,-1.5066208383606,0.187831255935453,0.187831255935453,1,1
82,83,08-Aug-2025,FST,24,27,24,13.9,37.9,0,0,-1,168.6,135.2,65.8,24,24,1,0,0,24,1,24,1,3.19374826528352,3.05736952557081,0.0879013048451127,0.0879013048451127,1,2
83,84,12-Aug-2025,MT,22,22,24,9.7,33.7,0,0,0,166.2,141.6,57.8,25,25,1,25,1,25,1,25,1,-1.16807730566566,0.247210800058251,-0.782435196767635,0.782435196767635,1,1
84,85,14-Aug-2025,FST,22,26,24,12.2,36.2,0,0,-1,166.2,138.6,64.2,24,24,1,24,1,24,1,24,1,2.12565818480843,1.10232807555036,0.171546440344104,0.171546440344104,1,2
85,86,21-Aug-2025,FST,23,26,24,14.4,38.4,0,0,-2,167.8,136.2,64.2,24,24,1,0,0,24,1,24,1,2.4461174608708,2.44369425447476,-0.250404535982939,0.250404535982939,1,1
89,90,02-Sep-2025,FST,24,27,24,14.7,38.7,0,0,-1,168.6,133.6,65.8,24,24,1,0,0,24,1,24,1,3.59127703368267,3.51343207249993,-0.435527612567342,0.435527612567342,1,1
90,91,04-Sep-2025,MT,22,21,24,9.9,33.9,0,0,-2,165.4,145.2,56.2,25,25,1,25,1,25,1,25,1,-2.561692358727,-1.10756610979762,-0.270169046800447,0.270169046800447,1,1
91,92,09-Sep-2025,MT,22,20,24,10.11,34.11,0,0,-2,166.2,144.78,54.6,25,25,1,25,1,25,1,25,1,-3.23235025772181,-0.659213511963382,-0.709825652040422,0.709825652040422,1,1
92,93,11-Sep-2025,FST,22,26,24,13.9,37.9,0,0,-2,166.2,137.2,64.2,24,24,1,24,1,24,1,24,1,2.47349585715769,1.50138280411334,-0.286453862391796,0.286453862391796,1,2
93,94,12-Sep-2025,MT,20,20,24,9,33,0,0,-3,163,149,54.6,25,25,1,25,1,25,1,25,1,-3.72916463130188,-3.17662319655036,-0.0556666819483421,0.0556666819483421,1,1
95,96,19-Sep-2025,FST,23,27,24,13.4,37.4,0,0,0,167,134.2,65.8,24,0,0,0,0,24,1,24,1,3.71803762206934,2.6851362588708,-0.602434168329308,0.602434168329308,1,1
96,97,30-Sep-2025,FST,21,26,24,13.8,37.8,0,0,-3,164.6,139.4,64.2,24,24,1,24,1,24,1,24,1,2.2027276771452,0.217024443555084,0.0700684992587001,0.0700684992587001,1,2
97,98,01-Oct-2025,FST,23,28,24,15.3,39.3,0,0,-2,167.8,134.4,67.4,24,24,1,0,0,24,1,24,1,4.16752185018269,2.95676461977002,0.128443360558101,0.128443360558101,1,1
