TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz,MeanMicrosaccadeAmplitudeDeg,MeanMicrosaccadePeakVelocityDegS,MeanMicrosaccadeDurationMs,TrialDirectionX,TrialDirectionY,TrialMeanDirectionDeg,TrialDirectionResultantLength,LeftThresholdXDegS,LeftThresholdYDegS,RightThresholdXDegS,RightThresholdYDegS
942,1,Stim,1,1,3111.1871,3112.147,-0.0574666666666417,0.960000000000036,999.999999796273,2,0.4545,1,1,2,4,6,6.24999999999976,0.0652927986590622,11.3433605976338,7.33333333482733,0.125429346335425,0.0427371317696386,18.8153491749878,0.13251031414206,13.2977858068805,6.6640308074954,13.2978102437036,6.66400237310408
943,1,Stim,1,1,3114.53786666667,3115.5104,-0.0512666666668338,0.973000000000411,999.999999796273,1,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2978093217255,6.66402183199924,19.9467050841841,6.66402758402178
944,1,Stim,1,1,3118.0044,3118.9749,-0.0530666666668367,0.970000000000255,999.999999796273,2,-0.1818,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.297810731508,6.66403089383882,13.2978142456078,6.66403064042499
946,1,NonStim,0,1,3124.83013333333,3125.82253333333,NaN,0.992000000000189,999.999999796273,4,1,1,1,2,2,3,3.02419354838652,0.105399765787161,14.5954365424449,10.0000000020373,-0.227334005746724,-0.44451237538618,242.913737309928,0.499271471286229,6.64890712048508,6.66400066607087,13.2978141114429,6.6640309617704
947,1,NonStim,0,1,3128.26486666667,3129.23886666667,NaN,0.97400000000016,999.999999796273,3,0.6363,1,1,2,1,3,3.08008213552311,0.0822266440363404,14.5312355031569,7.66666666822857,0.541225926818214,-0.0899505813012332,350.563815437164,0.548649807196416,19.9467189236208,6.66403142734446,19.9467119362476,6.66402330454191
948,1,Stim,1,1,3131.63103333333,3132.61456666667,-0.0555666666664365,0.983000000000175,999.999999796273,3,-0.0909,-1,1,1,2,3,3.05188199389569,0.046046161471658,9.87849191579267,6.3333333346236,-0.0126471457950029,0.408652303850523,91.7726484156672,0.408847961642344,6.64890706460216,6.66403078388294,19.9467107467058,6.66402918807053
949,1,NonStim,0,1,3135.01593333333,3135.98986666667,NaN,0.97400000000016,999.999999796273,3,-0.1818,-1,1,1,0,1,1.02669404517437,0.0446834078221489,8.66656152097344,7.00000000142609,-0.446401067936246,0.894832993661599,116.513013583733,1,13.297812606611,6.6640282205294,13.2978138673551,6.66403143117052
950,1,NonStim,0,1,3138.5071,3139.4892,NaN,0.982000000000426,999.999999796273,4,-0.3636,-1,1,1,4,5,5.09164969449881,0.0400444358121377,9.9220989935311,6.80000000138534,-0.0892802132421202,-0.178966588617827,243.486985211254,0.199999990795152,6.64890555343108,6.66403133611408,13.2978140721124,6.66403149133737
951,1,NonStim,0,1,3141.9419,3142.90703333333,NaN,0.966000000000349,999.999999796273,2,-0.4545,-1,1,1,0,1,1.03519668737023,0.0603436947306428,12.0053688851757,8.00000000162981,-0.110183955288945,0.993911211324676,96.325919890437,1,6.64890713075882,6.66403112470219,13.2978114410708,6.66403143985954
952,1,NonStim,0,1,3145.2835,3146.25926666667,NaN,0.976000000000113,999.999999796273,3,0.4545,1,1,2,2,3,3.07377049180292,0.0729774400831795,11.0698881352392,9.33333333523478,0.0949398798302846,-0.326377737885642,286.219162492642,0.339905881928421,13.2977941520539,6.66400636351203,13.297813544882,6.66402938660465
