SessionID,SessionIndex,Block,ComparatorCondition,RightEyeRate,ComparatorRate,Difference
Jim_067,67,nonStim,Combined,0.729508196721312,0.959016393442623,-0.229508196721311
Jim_068,68,nonStim,Combined,0.78021978021978,0.966666666666667,-0.186446886446886
Jim_069,69,nonStim,Combined,0.704918032786885,0.911290322580645,-0.20637228979376
Jim_070,70,nonStim,Combined,0.840336134453782,0.931034482758621,-0.0906983483048391
Jim_071,71,nonStim,Combined,0.806451612903226,0.934959349593496,-0.12850773669027
Jim_072,72,nonStim,Combined,0.770833333333333,0.910344827586207,-0.139511494252874
Jim_073,73,nonStim,Combined,0.864661654135338,0.924242424242424,-0.0595807701070858
Jim_074,74,nonStim,Combined,0.834710743801653,0.889830508474576,-0.0551197646729233
Jim_075,75,nonStim,Combined,0.870967741935484,0.952755905511811,-0.0817881635763271
Jim_076,76,nonStim,Combined,0.783333333333333,0.875,-0.0916666666666667
Jim_077,77,nonStim,Combined,0.819672131147541,0.941666666666667,-0.121994535519126
Jim_078,78,nonStim,Combined,0.8,0.975,-0.175
Jim_079,79,nonStim,Combined,0.784615384615385,0.86046511627907,-0.0758497316636851
Jim_080,80,nonStim,Combined,0.688524590163934,0.900826446280992,-0.212301856117057
Jim_081,81,nonStim,Combined,0.792307692307692,0.944,-0.151692307692308
Jim_082,82,nonStim,Combined,0.783333333333333,0.892561983471074,-0.109228650137741
Jim_083,83,nonStim,Combined,0.771186440677966,0.831932773109244,-0.0607463324312776
Jim_084,84,nonStim,Combined,0.781512605042017,0.886178861788618,-0.104666256746601
Jim_085,85,nonStim,Combined,0.764227642276423,0.909836065573771,-0.145608423297348
Jim_086,86,nonStim,Combined,0.6,0.87,-0.27
Jim_087,87,nonStim,Combined,0.842592592592593,0.932692307692308,-0.0900997150997151
Jim_088,88,nonStim,Combined,0.847222222222222,0.950354609929078,-0.103132387706856
Jim_089,89,nonStim,Combined,0.857142857142857,0.943181818181818,-0.0860389610389611
Jim_090,90,nonStim,Combined,0.809917355371901,0.941666666666667,-0.131749311294766
Jim_091,91,nonStim,Combined,0.808,0.928571428571429,-0.120571428571429
Jim_092,92,nonStim,Combined,0.771604938271605,0.906040268456376,-0.134435330184771
Jim_093,93,nonStim,Combined,0.849056603773585,0.916666666666667,-0.0676100628930817
Jim_094,94,nonStim,Combined,0.776595744680851,0.945054945054945,-0.168459200374094
Jim_095,95,nonStim,Combined,0.740740740740741,0.91304347826087,-0.172302737520129
Jim_096,96,nonStim,Combined,0.752212389380531,0.9,-0.147787610619469
Jim_097,97,nonStim,Combined,0.704918032786885,0.891666666666667,-0.186748633879781
Jim_098,98,nonStim,Combined,0.573099415204678,0.911242603550296,-0.338143188345618
Jim_099,99,nonStim,Combined,0.884297520661157,0.950413223140496,-0.0661157024793388
Jim_100,100,nonStim,Combined,0.783132530120482,0.880239520958084,-0.097106990837602
Jim_101,101,nonStim,Combined,0.825,0.95,-0.125
Jim_102,102,nonStim,Combined,0.661654135338346,0.887218045112782,-0.225563909774436
Jim_103,103,nonStim,Combined,0.756302521008403,0.923076923076923,-0.16677440206852
Jim_104,104,nonStim,Combined,0.778688524590164,0.959016393442623,-0.180327868852459
Jim_105,105,nonStim,Combined,0.875,0.948717948717949,-0.0737179487179487
Jim_106,106,nonStim,Combined,0.840579710144927,0.864406779661017,-0.0238270695160895
Jim_107,107,nonStim,Combined,0.791666666666667,0.899159663865546,-0.10749299719888
Jim_108,108,nonStim,Combined,0.745762711864407,0.901639344262295,-0.155876632397888
Jim_109,109,nonStim,Combined,0.772222222222222,0.900552486187845,-0.128330263965623
Jim_110,110,nonStim,Combined,0.793103448275862,0.93006993006993,-0.136966481794068
Jim_111,111,nonStim,Combined,0.794871794871795,0.921739130434783,-0.126867335562988
Jim_112,112,nonStim,Combined,0.760330578512397,0.925619834710744,-0.165289256198347
Jim_113,113,nonStim,Combined,0.827868852459016,0.942622950819672,-0.114754098360656
Jim_114,114,nonStim,Combined,0.815068493150685,0.939597315436242,-0.124528822285557
Jim_115,115,nonStim,Combined,0.576923076923077,0.886363636363636,-0.309440559440559
Jim_116,116,nonStim,Combined,0.659863945578231,0.923611111111111,-0.26374716553288
Jim_117,117,nonStim,Combined,0.748091603053435,0.946153846153846,-0.198062243100411
Jim_118,118,nonStim,Combined,0.789915966386555,0.925,-0.135084033613445
Jim_119,119,nonStim,Combined,0.848275862068966,0.951388888888889,-0.103113026819923
Jim_120,120,nonStim,Combined,0.619834710743802,0.801652892561983,-0.181818181818182
Jim_121,121,nonStim,Combined,0.821917808219178,0.925675675675676,-0.103757867456498
Jim_122,122,nonStim,Combined,0.833333333333333,0.92090395480226,-0.0875706214689265
Jim_123,123,nonStim,Combined,0.679012345679012,0.92948717948718,-0.250474833808167
Jim_124,124,nonStim,Combined,0.753246753246753,0.896103896103896,-0.142857142857143
Jim_125,125,nonStim,Combined,0.5,0.791666666666667,-0.291666666666667
Jim_126,126,nonStim,Combined,0.858333333333333,0.932773109243697,-0.0744397759103642
Jim_127,127,nonStim,Combined,0.664429530201342,0.870748299319728,-0.206318769118386
Jim_128,128,nonStim,Combined,0.744827586206897,0.875862068965517,-0.131034482758621
Jim_129,129,nonStim,Combined,0.696551724137931,0.856164383561644,-0.159612659423713
Jim_130,130,nonStim,Combined,0.721311475409836,0.89344262295082,-0.172131147540984
Jim_131,131,nonStim,Combined,0.8,0.925,-0.125
Jim_132,132,nonStim,Combined,0.888888888888889,0.941176470588235,-0.0522875816993464
Jim_133,133,nonStim,Combined,0.870967741935484,0.925619834710744,-0.05465209277526
Jim_134,134,nonStim,Combined,0.785185185185185,0.963235294117647,-0.178050108932462
Jim_135,135,nonStim,Combined,0.847133757961783,0.962264150943396,-0.115130392981613
Jim_136,136,nonStim,Combined,0.851239669421488,0.883333333333333,-0.0320936639118456
Jim_137,137,nonStim,Combined,0.798701298701299,0.933333333333333,-0.134632034632035
Jim_138,138,nonStim,Combined,0.780821917808219,0.895104895104895,-0.114282977296676
Jim_139,139,nonStim,Combined,0.848739495798319,0.966666666666667,-0.117927170868347
Jim_140,140,nonStim,Combined,0.75,0.882758620689655,-0.132758620689655
Jim_141,141,nonStim,Combined,0.746835443037975,0.80379746835443,-0.0569620253164557
Jim_142,142,nonStim,Combined,0.822085889570552,0.925925925925926,-0.103840036355374
Jim_143,143,nonStim,Combined,0.676258992805755,0.859259259259259,-0.183000266453504
Jim_144,144,nonStim,Combined,0.821138211382114,0.888888888888889,-0.067750677506775
Jim_145,145,nonStim,Combined,0.68,0.850393700787402,-0.170393700787402
Jim_146,146,nonStim,Combined,0.826446280991736,0.905511811023622,-0.0790655300318864
Jim_147,147,nonStim,Combined,0.908333333333333,0.95,-0.0416666666666666
Jim_148,148,nonStim,Combined,0.852713178294574,0.94488188976378,-0.0921687114692059
Jim_149,149,nonStim,Combined,0.731707317073171,0.904,-0.172292682926829
Jim_150,150,nonStim,Combined,0.854700854700855,0.921052631578947,-0.0663517768780927
Jim_151,151,nonStim,Combined,0.717741935483871,0.884297520661157,-0.166555585177286
Jim_001,1,nonStim,MonoL,0.844262295081967,0.867768595041322,-0.023506299959355
Jim_002,2,nonStim,MonoL,0.801418439716312,0.838028169014085,-0.0366097292977724
Jim_003,3,nonStim,MonoL,0.661870503597122,0.762589928057554,-0.100719424460432
Jim_004,4,nonStim,MonoL,0.790322580645161,0.856,-0.0656774193548387
Jim_005,5,nonStim,MonoL,0.696969696969697,0.75187969924812,-0.0549100022784232
Jim_006,6,nonStim,MonoL,0.844594594594595,0.837837837837838,0.0067567567567568
Jim_007,7,nonStim,MonoL,0.739495798319328,0.875,-0.135504201680672
Jim_008,8,nonStim,MonoL,0.613636363636364,0.833333333333333,-0.21969696969697
Jim_009,9,nonStim,MonoL,0.633333333333333,0.909090909090909,-0.275757575757576
Jim_010,10,nonStim,MonoL,0.621848739495798,0.683333333333333,-0.061484593837535
Jim_011,11,nonStim,MonoL,0.772727272727273,0.833333333333333,-0.0606060606060607
Jim_012,12,nonStim,MonoL,0.828125,0.839378238341969,-0.0112532383419689
Jim_013,13,nonStim,MonoL,0.795081967213115,0.827868852459016,-0.0327868852459017
Jim_014,14,nonStim,MonoL,0.685897435897436,0.903225806451613,-0.217328370554177
Jim_015,15,nonStim,MonoL,0.734806629834254,0.861111111111111,-0.126304481276857
