SourceFile,Monkey,SessionID,SessionIndex,Block,ConditionIndex,ConditionName,SignedCoherence,AbsCoherence,TowardCount,CorrectCount,TotalTrials,CorrectRate
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_001,1,nonStim,4,Bino,0.636363636363636,0.636363636363636,10,10,10,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_001,1,nonStim,4,Bino,1,1,10,10,10,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,-1,1,0,12,12,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,-0.636363636363636,0.636363636363636,0,11,11,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,-0.454545454545455,0.454545454545455,1,11,12,0.916666666666667
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,-0.363636363636364,0.363636363636364,0,12,12,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,-0.181818181818182,0.181818181818182,3,9,12,0.75
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,-0.0909090909090909,0.0909090909090909,8,5,13,0.384615384615385
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,0.0909090909090909,0.0909090909090909,8,8,12,0.666666666666667
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,0.181818181818182,0.181818181818182,11,11,12,0.916666666666667
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,0.363636363636364,0.363636363636364,11,11,11,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,0.454545454545455,0.454545454545455,11,11,11,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,0.636363636363636,0.636363636363636,11,11,11,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,1,Combined,1,1,11,11,11,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,-1,1,0,11,11,1
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,-0.636363636363636,0.636363636363636,1,11,12,0.916666666666667
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,-0.454545454545455,0.454545454545455,3,9,12,0.75
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,-0.363636363636364,0.363636363636364,3,8,11,0.727272727272727
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,-0.181818181818182,0.181818181818182,6,7,13,0.538461538461538
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_002,2,nonStim,2,MonoL,-0.0909090909090909,0.0909090909090909,8,4,12,0.333333333333333
