SourceFile,Monkey,SessionID,SessionIndex,Block,ConditionIndex,ConditionName,CorrectCount,TotalTrials,CorrectRate,NCoherenceLevels
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_011,11,nonStim,3,MonoR,102,132,0.772727272727273,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_011,11,nonStim,4,Bino,114,132,0.863636363636364,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_012,12,nonStim,1,Combined,186,192,0.96875,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_012,12,nonStim,2,MonoL,162,193,0.839378238341969,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_012,12,nonStim,3,MonoR,159,192,0.828125,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_012,12,nonStim,4,Bino,168,192,0.875,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_013,13,nonStim,1,Combined,117,122,0.959016393442623,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_013,13,nonStim,2,MonoL,101,122,0.827868852459016,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_013,13,nonStim,3,MonoR,97,122,0.795081967213115,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_013,13,nonStim,4,Bino,114,123,0.926829268292683,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_014,14,nonStim,1,Combined,143,154,0.928571428571429,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_014,14,nonStim,2,MonoL,140,155,0.903225806451613,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_014,14,nonStim,3,MonoR,107,156,0.685897435897436,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_014,14,nonStim,4,Bino,133,155,0.858064516129032,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_015,15,nonStim,1,Combined,175,182,0.961538461538462,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_015,15,nonStim,2,MonoL,155,180,0.861111111111111,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_015,15,nonStim,3,MonoR,133,181,0.734806629834254,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_015,15,nonStim,4,Bino,154,181,0.850828729281768,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_016,16,nonStim,1,Combined,109,117,0.931623931623932,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_016,16,nonStim,2,MonoL,99,116,0.853448275862069,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_016,16,nonStim,3,MonoR,90,115,0.782608695652174,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_016,16,nonStim,4,Bino,109,119,0.915966386554622,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_017,17,nonStim,1,Combined,108,117,0.923076923076923,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_017,17,nonStim,2,MonoL,103,119,0.865546218487395,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_017,17,nonStim,3,MonoR,107,120,0.891666666666667,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_017,17,nonStim,4,Bino,107,119,0.899159663865546,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_018,18,nonStim,1,Combined,123,133,0.924812030075188,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_018,18,nonStim,2,MonoL,118,135,0.874074074074074,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_018,18,nonStim,3,MonoR,107,133,0.804511278195489,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_018,18,nonStim,4,Bino,117,134,0.873134328358209,12
C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\BehaviorFitting\BehaviorData_Jim.mat,Jim,Jim_019,19,nonStim,1,Combined,114,122,0.934426229508197,12
