TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz,MeanMicrosaccadeAmplitudeDeg,MeanMicrosaccadePeakVelocityDegS,MeanMicrosaccadeDurationMs,TrialDirectionX,TrialDirectionY,TrialMeanDirectionDeg,TrialDirectionResultantLength,LeftThresholdXDegS,LeftThresholdYDegS,RightThresholdXDegS,RightThresholdYDegS
55,1,Stim,1,1,235.710133333333,236.678966666667,-0.0514666666666699,0.967999999999989,999.999999995225,4,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30846934284933,3.99841892858166,11.9680319129878,7.99683661221227
56,1,Stim,1,1,239.244866666667,240.2266,-0.0535333333333199,0.981999999999999,999.999999995225,3,-0.1818,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9786884536017,2.10735171385745,11.9680299833351,5.33121877365058
57,1,Stim,1,1,242.5616,243.553133333333,-0.0501999999999896,0.99199999999999,999.999999995225,4,-0.1818,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868830400581,5.33122051537625,13.2978127664847,5.33122395119825
58,1,NonStim,0,1,245.937733333333,246.896066666667,NaN,0.959000000000003,999.999999995225,2,0.3636,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30846787208159,5.33122511902844,11.9680309123264,7.9968373992993
59,1,NonStim,0,1,249.2977,250.2706,NaN,0.973000000000013,999.999999995225,3,0.3636,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6382431694903,5.33122501210504,11.9680325737772,6.66403119092088
60,1,NonStim,0,1,252.7469,253.712333333333,NaN,0.96599999999998,999.999999995225,3,-0.4545,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868856002721,6.66403110719533,13.2978108442627,7.99683165862069
61,1,NonStim,0,1,256.263366666667,257.238066666667,NaN,0.974999999999966,1000.00000002365,3,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30846955597387,5.33122365143818,11.9680296521032,6.66403146250224
62,1,NonStim,0,1,259.680866666667,260.6537,NaN,0.973000000000013,1000.00000002365,3,-0.1818,-1,1,2,2,2,2.05549845837613,0.246821493875394,23.4861338463603,17.9999999995744,0.160230098783883,-0.00121198640428372,359.566620865842,0.160234682473356,7.97868842995602,6.66403073596027,11.9680306168419,3.99841698831106
63,1,Stim,1,1,263.023466666667,263.988166666667,-0.0600666666666712,0.964999999999975,1000.00000002365,2,0.1818,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868837451557,5.3312194563556,11.9680325324879,5.33122447552337
65,1,NonStim,0,1,269.632066666667,270.6056,NaN,0.973000000000013,1000.00000002365,3,0.1818,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868811709876,5.33122520875303,10.638251403887,7.99679088668698
66,1,Stim,1,1,273.367166666667,274.332766666667,-0.0623666666666622,0.964999999999975,1000.00000002365,3,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868843201897,6.6640240983186,11.8939235814516,7.99683644241618
67,1,NonStim,0,1,276.741233333333,277.706266666667,NaN,0.964999999999975,1000.00000002365,2,-0.3636,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6382504742296,11.9952434881089,10.6382477189403,6.66403148927824
68,1,Stim,1,1,280.266333333333,281.2235,-0.065466666666623,0.956999999999994,1000.00000002365,3,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9680182745949,3.99841773914944,13.297794274752,6.66402059004971
69,1,Stim,1,1,283.608333333333,284.6093,-0.0497999999999479,1.00099999999998,1000.00000002365,1,-1,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868478572017,6.66400933241765,11.9680295890813,5.3312250195696
70,1,NonStim,0,1,286.984366666667,287.949566666667,NaN,0.964999999999975,1000.00000002365,1,0.3636,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868622902823,5.33122483721415,11.9680328009859,11.995248084643
71,1,NonStim,0,1,290.3184,291.292966666667,NaN,0.973999999999933,1000.00000002365,3,-1,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868354571964,7.9968340229898,13.2978126707288,7.99683238042243
72,1,Stim,1,1,293.6683,294.651133333333,-0.0510999999999626,0.983000000000004,1000.00000002365,3,0.3636,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868846815277,7.99683556994477,11.9680326416089,7.99683661223671
73,1,Stim,1,1,297.027866666667,297.995833333333,-0.0541000000000054,0.967999999999961,1000.00000002365,4,0.1818,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30846721676498,10.6624407817762,11.9680268753983,7.99681686904593
74,1,NonStim,0,1,300.377033333333,301.355966666667,NaN,0.978000000000009,1000.00000002365,1,-0.1818,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9680297017885,5.33122310660122,15.9573764213966,7.99682613281059
75,1,Stim,1,1,303.603766666667,304.5714,-0.0530333333333601,0.968000000000018,1000.00000002365,4,-0.3636,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3191227058119,9.3296349359212,11.9680187038494,7.99682952776167
76,1,Stim,1,1,306.820266666667,307.785533333333,-0.054366666666624,0.964999999999975,1000.00000002365,1,-0.4545,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868617030122,5.33122519358078,11.9680227433558,7.99683762856764
77,1,NonStim,0,1,309.995366666667,310.968733333333,NaN,0.973000000000013,1000.00000002365,4,-0.4545,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6382514132396,7.99681403069677,11.9680241517347,7.99681107314237
