Monkey,Date,ROI,ND,OriginalRecIdx
Clay,06-Jan-2026,FST,MN,244
Clay,08-Jan-2026,FST,2D,245
Clay,13-Jan-2026,FST,NA,246
Clay,15-Jan-2026,MT,NA,247
Clay,21-Jan-2026,FST,2D,248
Clay,23-Jan-2026,FST,MN,249
Clay,27-Jan-2026,MT,2D,250
Clay,29-Jan-2026,FST,2D,251
Clay,03-Feb-2026,FST,MN,252
Clay,10-Feb-2026,FST,2D,253
Clay,12-Feb-2026,FST,MN,254
