SourceRow,OriginalRecIdx,Date,Monkey,ROI,StimElec,NeuroType,Z3D_v_Z2D,P_MonoL,P_MonoR,Combined_AI,CombinedCuePreference,SpeedRank_2D,SpeedDegPerSec_2D,SpeedLabel_2D,IsMatchedSlowSpeed,T_L,T_R,A_L,A_R,R_L,R_R,L_L,L_R,N_T_L,N_T_R,N_A_L,N_A_R,N_R_L,N_R_R,N_L_L,N_L_R,TDI_Numerator,TDI_Denominator,TDI,ADI_Numerator,ADI_Denominator,ADI,Valid_TDI,Valid_ADI,Complete_AllEightMetrics
122,124,16-Aug-2024,Jim,FST,5,3D,2.66751583367,7.35915625291353e-05,0.00100501149531017,0.70804774448872,Toward,2,12.500001,fast (~12.5 deg/s),0,55.4166871231533,46.3285057452091,40.6444341520409,33.9863934943252,30.328973409789,30.2651294791183,29.7089750797764,31.3706918397224,NaN,NaN,NaN,NaN,10,10,10,10,40.0455276188511,163.444858117874,0.245009406107905,14.6567230874713,134.604932205261,0.108886969053415,1,1,1
128,130,13-Nov-2024,Jim,FST,7,3D,1.99234024075083,5.28644202032631e-09,0.00107163408625142,0.758527397223663,Toward,2,12.500001,fast (~12.5 deg/s),0,39.63011668832,24.7641563950106,15.6594016704552,21.9656501886097,38.6619973105983,31.6749765204992,21.1164778925706,25.7178265278033,NaN,NaN,NaN,NaN,10,10,10,10,0.0144492449290325,128.774096921732,0.000112206144515342,-15.1664025540049,90.4165062721347,-0.167739311983115,1,1,1
132,134,25-Nov-2024,Jim,FST,10,3D,1.19636508535913,6.21981645462923e-17,0.0211529888058379,-0.844877724144405,Away,2,12.500001,fast (~12.5 deg/s),0,24.6464284255437,26.82804788933,54.5878195528546,31.6993230356985,20.6569440360156,25.9567340573148,36.0331465064835,23.648841320377,NaN,NaN,NaN,NaN,10,10,10,10,7.16869095848109,95.7802616712663,0.0748451803471286,24.2972620247549,148.277023152351,0.163863972368733,1,1,1
133,135,27-Nov-2024,Jim,FST,14,3D,1.58678158032284,6.8680877265003e-06,6.11187592482096e-09,0.545809929416302,Toward,2,12.500001,fast (~12.5 deg/s),0,30.712574177528,36.319006779306,21.5263580406023,18.1164349406557,19.7562360856309,19.620545745897,51.7133212050571,57.4792993040629,NaN,NaN,NaN,NaN,10,10,10,9,-10.2039544328597,144.267116346528,-0.0707295930719927,-31.6910739696961,110.976659932212,-0.285565216947906,1,1,1
137,139,27-Dec-2024,Jim,FST,4,3D,5.45276104148318,2.88803417202345e-09,2.23650781317873e-05,-0.667029016531026,Away,2,12.500001,fast (~12.5 deg/s),0,29.8022356735062,31.4679023250504,65.8594061845856,60.5719922589791,55.7593455362299,72.2606389455773,34.1164552982504,33.0205532121208,NaN,NaN,NaN,NaN,10,11,10,11,-27.5097607497941,150.050036746907,-0.183337247668892,20.054304199737,232.808492687392,0.0861407759151865,1,1,1
139,141,17-Jan-2025,Jim,FST,1,3D,0.942345144327153,0.0457760169189041,2.2953402884475e-17,-0.768706957458634,Away,2,12.500001,fast (~12.5 deg/s),0,31.9012371575734,19.6155409628248,64.2388942029476,90.5443816342825,51.1404498147382,48.750599112349,28.150216298051,29.12657156411,NaN,NaN,NaN,NaN,10,10,10,10,-28.7502432584501,131.783799499246,-0.218162197232859,77.8824604268301,231.68409124763,0.336157998624029,1,1,1
151,153,23-Jul-2024,Clay,FST,15,3D,0.333007142684771,0.0146021000647744,7.58762849191692e-15,-0.746218752010949,Away,2,12.500001,fast (~12.5 deg/s),0,33.6893390966872,18.7579409503173,38.8821352326288,64.7776780045101,70.3215225738399,64.5959468808555,41.3496834800418,33.5578942023657,NaN,NaN,NaN,NaN,8,8,8,8,-51.4321367292011,156.32669682321,-0.329004180184052,-2.2858171237584,209.605443598036,-0.01090533282209,1,1,1
158,160,20-Aug-2024,Clay,FST,4,3D,1.85050726958588,2.81673109243859e-12,5.71183182054888e-12,0.780721403290405,Toward,2,12.500001,fast (~12.5 deg/s),0,40.3252613892848,46.6615712910087,21.8846134422683,27.2628650292554,37.3632750893418,30.6928901743115,25.4035960547349,26.8816132340686,NaN,NaN,NaN,NaN,8,8,7,8,22.741944356883,151.231721003704,0.150378136319206,-6.94900775752268,105.24396470057,-0.0660276128640091,1,1,1
160,162,29-Aug-2024,Clay,FST,13,3D,2.83575562702507,0.00030155067741074,0.0167970826993435,-0.599751888916851,Away,2,12.500001,fast (~12.5 deg/s),0,29.3700236002369,31.8534648877879,46.1131069236955,31.6704659310098,43.3147451060543,55.2182912024961,65.9456790081835,57.0987176456603,NaN,NaN,NaN,NaN,8,9,9,9,-39.1899742636898,161.636951239739,-0.242456777136086,-43.3803973559744,198.947543065385,-0.218049424926636,1,1,1
181,184,14-Feb-2025,Clay,FST,9,3D,1.06104466175662,1.23973776479583e-18,4.08344825741913e-06,0.894163985374049,Toward,2,12.500001,fast (~12.5 deg/s),0,116.528130917193,96.9556118445691,45.5633807307477,52.5534365052434,73.3164521291136,77.1112499022031,64.6789065433875,68.9496885621019,NaN,NaN,NaN,NaN,9,9,8,8,71.2176020705468,355.749883452978,0.200190092486595,-43.6733392095994,239.906973681582,-0.182042808257692,1,1,1
