SourceRow,OriginalRecIdx,Date,Monkey,ROI,StimElec,NeuroType,Z3D_v_Z2D,P_MonoL,P_MonoR,Combined_AI,CombinedCuePreference,SpeedRank_2D,SpeedDegPerSec_2D,SpeedLabel_2D,IsMatchedSlowSpeed,T_L,T_R,A_L,A_R,R_L,R_R,L_L,L_R,N_T_L,N_T_R,N_A_L,N_A_R,N_R_L,N_R_R,N_L_L,N_L_R,TDI_Numerator,TDI_Denominator,TDI,ADI_Numerator,ADI_Denominator,ADI,Valid_TDI,Valid_ADI,Complete_AllEightMetrics
122,124,16-Aug-2024,Jim,FST,5,3D,2.66751583367,7.35915625291353e-05,0.00100501149531017,0.70804774448872,Toward,1,4.166667,slow (~4.2 deg/s),1,55.4166871231533,46.3285057452091,40.6444341520409,33.9863934943252,41.2789652559513,26.9401694726096,35.0725352235258,42.7941088522852,NaN,NaN,NaN,NaN,10,9,10,10,17.672118760126,185.818266976599,0.0951043137344053,12.6181229502307,136.643532342502,0.0923433603765667,1,1,1
128,130,13-Nov-2024,Jim,FST,7,3D,1.99234024075083,5.28644202032631e-09,0.00107163408625142,0.758527397223663,Toward,1,4.166667,slow (~4.2 deg/s),1,39.63011668832,24.7641563950106,15.6594016704552,21.9656501886097,28.9054013097552,25.5127999628705,16.8389620279872,18.6974321788314,NaN,NaN,NaN,NaN,10,10,10,10,16.791439594744,111.997106571917,0.14992744106261,-4.72671013179278,79.9768138499226,-0.0591010057072604,1,1,1
132,134,25-Nov-2024,Jim,FST,10,3D,1.19636508535913,6.21981645462923e-17,0.0211529888058379,-0.844877724144405,Away,1,4.166667,slow (~4.2 deg/s),1,24.6464284255437,26.82804788933,54.5878195528546,31.6993230356985,20.2203061592021,35.8545233914546,49.1366678406118,27.5592329148508,NaN,NaN,NaN,NaN,10,11,10,10,3.69493724082082,99.2540153889265,0.0372270807013925,1.2959513564868,171.278333820619,0.00756634728735777,1,1,1
133,135,27-Nov-2024,Jim,FST,14,3D,1.58678158032284,6.8680877265003e-06,6.11187592482096e-09,0.545809929416302,Toward,1,4.166667,slow (~4.2 deg/s),1,30.712574177528,36.319006779306,21.5263580406023,18.1164349406557,14.9456188036728,13.9520075079168,24.2958918631616,28.6727361720434,NaN,NaN,NaN,NaN,10,10,10,10,23.4132259811179,110.64993593255,0.21159728456951,1.39489361017961,77.8906923523364,0.0179083478147793,1,1,1
137,139,27-Dec-2024,Jim,FST,4,3D,5.45276104148318,2.88803417202345e-09,2.23650781317873e-05,-0.667029016531026,Away,1,4.166667,slow (~4.2 deg/s),1,29.8022356735062,31.4679023250504,65.8594061845856,60.5719922589791,42.5858299948313,42.8407251696893,30.7257072677955,34.4099915600193,NaN,NaN,NaN,NaN,10,10,10,10,-15.725683556294,138.265959553407,-0.113735033605431,52.8649660060799,199.997830881049,0.264327696821481,1,1,1
139,141,17-Jan-2025,Jim,FST,1,3D,0.942345144327153,0.0457760169189041,2.2953402884475e-17,-0.768706957458634,Away,1,4.166667,slow (~4.2 deg/s),1,31.9012371575734,19.6155409628248,64.2388942029476,90.5443816342825,54.7397215926656,54.9843809960599,43.2252346184959,28.5730707835301,NaN,NaN,NaN,NaN,10,10,11,10,-31.7960142557975,134.829570496594,-0.235823745033741,56.5736602226744,252.992891451786,0.223617588217714,1,1,1
151,153,23-Jul-2024,Clay,FST,15,3D,0.333007142684771,0.0146021000647744,7.58762849191692e-15,-0.746218752010949,Away,1,4.166667,slow (~4.2 deg/s),1,33.6893390966872,18.7579409503173,38.8821352326288,64.7776780045101,38.2990284269935,40.8008279525272,21.1051556341257,14.9209706272862,NaN,NaN,NaN,NaN,8,8,8,8,-0.772719007275111,105.667279101284,-0.0073127557920219,41.753829650486,165.565796823792,0.252188739772888,1,1,1
158,160,20-Aug-2024,Clay,FST,4,3D,1.85050726958588,2.81673109243859e-12,5.71183182054888e-12,0.780721403290405,Toward,1,4.166667,slow (~4.2 deg/s),1,40.3252613892848,46.6615712910087,21.8846134422683,27.2628650292554,28.3777167502071,27.4067600866632,28.6074837027728,28.9239466180984,NaN,NaN,NaN,NaN,8,8,8,8,29.6851693119879,144.288496048599,0.205734830737922,-6.86676531791232,105.16172226096,-0.0652971934110435,1,1,1
160,162,29-Aug-2024,Clay,FST,13,3D,2.83575562702507,0.00030155067741074,0.0167970826993435,-0.599751888916851,Away,1,4.166667,slow (~4.2 deg/s),1,29.3700236002369,31.8534648877879,46.1131069236955,31.6704659310098,27.9429434061418,38.9753634813282,50.7560483236727,33.7090545025614,NaN,NaN,NaN,NaN,9,9,9,9,-0.428509420678409,122.875486396728,-0.00348734668927276,-11.9478389502956,167.514984659706,-0.0713240011009567,1,1,1
181,184,14-Feb-2025,Clay,FST,9,3D,1.06104466175662,1.23973776479583e-18,4.08344825741913e-06,0.894163985374049,Toward,1,4.166667,slow (~4.2 deg/s),1,116.528130917193,96.9556118445691,45.5633807307477,52.5534365052434,87.2971267074957,90.5539541901166,65.0607655247821,76.4073467997731,NaN,NaN,NaN,NaN,8,8,8,8,49.7792692544934,377.188216269031,0.131974614018663,-57.4979024789075,253.73153695089,-0.226609207392443,1,1,1
