SessionID,SessionIndex,Block,ComparatorCondition,LeftEyeRate,ComparatorRate,Difference
Clay_040,40,nonStim,Combined,0.790697674418605,0.950819672131147,-0.160121997712543
Clay_041,41,nonStim,Combined,0.852459016393443,0.875,-0.0225409836065574
Clay_042,42,nonStim,Combined,0.783333333333333,0.925,-0.141666666666667
Clay_043,43,nonStim,Combined,0.741071428571429,0.873873873873874,-0.132802445302445
Clay_044,44,nonStim,Combined,0.69,0.925233644859813,-0.235233644859813
Clay_045,45,nonStim,Combined,0.698924731182796,0.913978494623656,-0.21505376344086
Clay_046,46,nonStim,Combined,0.814814814814815,0.785046728971963,0.0297680858428522
Clay_047,47,nonStim,Combined,0.768595041322314,0.934426229508197,-0.165831188185883
Clay_048,48,nonStim,Combined,0.8125,0.90625,-0.09375
Clay_049,49,nonStim,Combined,0.683333333333333,0.921875,-0.238541666666667
Clay_050,50,nonStim,Combined,0.75609756097561,0.919354838709677,-0.163257277734068
Clay_051,51,nonStim,Combined,0.845070422535211,0.930555555555556,-0.0854851330203443
Clay_052,52,nonStim,Combined,0.73134328358209,0.864661654135338,-0.133318370553249
Clay_053,53,nonStim,Combined,0.675925925925926,0.827272727272727,-0.151346801346801
Clay_054,54,nonStim,Combined,0.784810126582278,0.909090909090909,-0.124280782508631
Clay_055,55,nonStim,Combined,0.75,0.963302752293578,-0.213302752293578
Clay_056,56,nonStim,Combined,0.754545454545455,0.908256880733945,-0.15371142618849
Clay_057,57,nonStim,Combined,0.570093457943925,0.773584905660377,-0.203491447716452
Clay_058,58,nonStim,Combined,0.658333333333333,0.866666666666667,-0.208333333333333
Clay_059,59,nonStim,Combined,0.808,0.868852459016393,-0.0608524590163934
Clay_060,60,nonStim,Combined,0.75,0.9,-0.15
Clay_061,61,nonStim,Combined,0.781512605042017,0.883333333333333,-0.101820728291316
Clay_062,62,nonStim,Combined,0.816326530612245,0.88,-0.0636734693877551
Clay_063,63,nonStim,Combined,0.833333333333333,0.875,-0.0416666666666666
Clay_064,64,nonStim,Combined,0.776785714285714,0.973214285714286,-0.196428571428571
Clay_065,65,nonStim,Combined,0.816666666666667,0.9,-0.0833333333333334
Clay_066,66,nonStim,Combined,0.710280373831776,0.841121495327103,-0.130841121495327
Clay_067,67,nonStim,Combined,0.8125,0.9125,-0.1
Clay_068,68,nonStim,Combined,0.769230769230769,0.962616822429907,-0.193386053199137
Clay_069,69,nonStim,Combined,0.852272727272727,0.872093023255814,-0.0198202959830867
Clay_070,70,nonStim,Combined,0.68,0.91,-0.23
Clay_071,71,nonStim,Combined,0.7375,0.893333333333333,-0.155833333333333
Clay_072,72,nonStim,Combined,0.771084337349398,0.897435897435897,-0.1263515600865
Clay_073,73,nonStim,Combined,0.761061946902655,0.936363636363636,-0.175301689460982
Clay_074,74,nonStim,Combined,0.694444444444444,0.871559633027523,-0.177115188583079
Clay_075,75,nonStim,Combined,0.690265486725664,0.929824561403509,-0.239559074677845
Clay_076,76,nonStim,Combined,0.572916666666667,0.896907216494845,-0.323990549828179
Clay_077,77,nonStim,Combined,0.661157024793388,0.867768595041322,-0.206611570247934
Clay_078,78,nonStim,Combined,0.761904761904762,0.846153846153846,-0.0842490842490843
Clay_079,79,nonStim,Combined,0.741071428571429,0.823008849557522,-0.0819374209860935
Clay_080,80,nonStim,Combined,0.788617886178862,0.878048780487805,-0.0894308943089431
Clay_081,81,nonStim,Combined,0.782051282051282,0.938271604938272,-0.15622032288699
Clay_082,82,nonStim,Combined,0.835616438356164,0.945205479452055,-0.10958904109589
Clay_083,83,nonStim,Combined,0.752475247524752,0.872549019607843,-0.120073772083091
Clay_084,84,nonStim,Combined,0.752808988764045,0.906976744186046,-0.154167755422002
Clay_085,85,nonStim,Combined,0.763440860215054,0.958333333333333,-0.19489247311828
Clay_086,86,nonStim,Combined,0.775862068965517,0.890756302521008,-0.114894233555491
Clay_087,87,nonStim,Combined,0.80188679245283,0.898148148148148,-0.0962613556953179
Clay_088,88,nonStim,Combined,0.730769230769231,0.929292929292929,-0.198523698523699
Clay_089,89,nonStim,Combined,0.813186813186813,0.849462365591398,-0.0362755524045847
Clay_090,90,nonStim,Combined,0.767123287671233,0.930555555555556,-0.163432267884323
Clay_091,91,nonStim,Combined,0.888888888888889,0.89873417721519,-0.00984528832630105
Clay_092,92,nonStim,Combined,0.743801652892562,0.851239669421488,-0.107438016528926
Clay_093,93,nonStim,Combined,0.860215053763441,0.967741935483871,-0.10752688172043
Clay_094,94,nonStim,Combined,0.701492537313433,0.897058823529412,-0.195566286215979
Clay_095,95,nonStim,Combined,0.75,0.9375,-0.1875
Clay_096,96,nonStim,Combined,0.645161290322581,0.873684210526316,-0.228522920203735
Clay_097,97,nonStim,Combined,0.652892561983471,0.883333333333333,-0.230440771349862
Clay_098,98,nonStim,Combined,0.744525547445255,0.934306569343066,-0.18978102189781
Clay_099,99,nonStim,Combined,0.735294117647059,0.876923076923077,-0.141628959276018
Clay_100,100,nonStim,Combined,0.575,0.933884297520661,-0.358884297520661
Clay_101,101,nonStim,Combined,0.708860759493671,0.951219512195122,-0.242358752701451
Clay_102,102,nonStim,Combined,0.785714285714286,0.919191919191919,-0.133477633477634
Clay_103,103,nonStim,Combined,0.821428571428571,0.909090909090909,-0.0876623376623377
Clay_001,1,nonStim,MonoR,0.887931034482759,0.829059829059829,0.0588712054229296
Clay_002,2,nonStim,MonoR,0.735537190082645,0.8,-0.0644628099173554
Clay_003,3,nonStim,MonoR,0.759259259259259,0.740740740740741,0.0185185185185186
Clay_004,4,nonStim,MonoR,0.833333333333333,0.8,0.0333333333333333
Clay_005,5,nonStim,MonoR,0.863636363636364,0.828828828828829,0.0348075348075348
Clay_006,6,nonStim,MonoR,0.783783783783784,0.814814814814815,-0.031031031031031
Clay_007,7,nonStim,MonoR,0.678321678321678,0.652777777777778,0.0255439005439005
Clay_008,8,nonStim,MonoR,0.779069767441861,0.761904761904762,0.0171650055370987
Clay_009,9,nonStim,MonoR,0.875,0.9375,-0.0625
Clay_010,10,nonStim,MonoR,0.809090909090909,0.810810810810811,-0.00171990171990177
Clay_011,11,nonStim,MonoR,0.816091954022989,0.811764705882353,0.00432724814063556
Clay_012,12,nonStim,MonoR,0.845360824742268,0.78125,0.064110824742268
Clay_013,13,nonStim,MonoR,0.857142857142857,0.882352941176471,-0.0252100840336135
Clay_014,14,nonStim,MonoR,0.833333333333333,0.916666666666667,-0.0833333333333333
Clay_015,15,nonStim,MonoR,0.80188679245283,0.759615384615385,0.0422714078374457
Clay_016,16,nonStim,MonoR,0.819444444444444,0.871428571428571,-0.051984126984127
Clay_017,17,nonStim,MonoR,0.848684210526316,0.854304635761589,-0.00562042523527362
Clay_018,18,nonStim,MonoR,0.802919708029197,0.798561151079137,0.00435855695006038
Clay_019,19,nonStim,MonoR,0.820689655172414,0.8125,0.00818965517241377
Clay_020,20,nonStim,MonoR,0.788732394366197,0.872340425531915,-0.0836080311657178
Clay_021,21,nonStim,MonoR,0.796296296296296,0.876190476190476,-0.0798941798941799
Clay_022,22,nonStim,MonoR,0.8,0.83739837398374,-0.0373983739837398
Clay_023,23,nonStim,MonoR,0.833333333333333,0.811881188118812,0.0214521452145214
Clay_024,24,nonStim,MonoR,0.831932773109244,0.830508474576271,0.00142429853297255
Clay_025,25,nonStim,MonoR,0.807017543859649,0.821428571428571,-0.0144110275689223
Clay_026,26,nonStim,MonoR,0.768518518518518,0.783783783783784,-0.0152652652652653
Clay_027,27,nonStim,MonoR,0.752380952380952,0.871287128712871,-0.118906176331919
Clay_028,28,nonStim,MonoR,0.765151515151515,0.789473684210526,-0.0243221690590112
Clay_029,29,nonStim,MonoR,0.817460317460317,0.866141732283465,-0.0486814148231471
Clay_030,30,nonStim,MonoR,0.838709677419355,0.852941176470588,-0.0142314990512333
Clay_031,31,nonStim,MonoR,0.735632183908046,0.752808988764045,-0.0171768048559989
Clay_032,32,nonStim,MonoR,0.766666666666667,0.825,-0.0583333333333332
Clay_033,33,nonStim,MonoR,0.775,0.809917355371901,-0.0349173553719008
Clay_034,34,nonStim,MonoR,0.823529411764706,0.899159663865546,-0.0756302521008404
Clay_035,35,nonStim,MonoR,0.758333333333333,0.743801652892562,0.0145316804407714
Clay_036,36,nonStim,MonoR,0.716666666666667,0.83739837398374,-0.120731707317073
Clay_037,37,nonStim,MonoR,0.855263157894737,0.857142857142857,-0.00187969924812026
Clay_038,38,nonStim,MonoR,0.793388429752066,0.844262295081967,-0.0508738653299011
Clay_039,39,nonStim,MonoR,0.854014598540146,0.883211678832117,-0.0291970802919709
Clay_040,40,nonStim,MonoR,0.790697674418605,0.829457364341085,-0.0387596899224807
Clay_041,41,nonStim,MonoR,0.852459016393443,0.875,-0.0225409836065574
Clay_042,42,nonStim,MonoR,0.783333333333333,0.791666666666667,-0.0083333333333333
Clay_043,43,nonStim,MonoR,0.741071428571429,0.81651376146789,-0.0754423328964613
Clay_044,44,nonStim,MonoR,0.69,0.851851851851852,-0.161851851851852
Clay_045,45,nonStim,MonoR,0.698924731182796,0.808510638297872,-0.109585907115077
Clay_046,46,nonStim,MonoR,0.814814814814815,0.785046728971963,0.0297680858428522
Clay_047,47,nonStim,MonoR,0.768595041322314,0.816666666666667,-0.0480716253443526
