SourceRow,Date,Monkey,ROI,Tetrode,Unit,NeuroType,Z3D_v_Z2D,Combined_AI,CombinedCuePreference,SpeedRank_2D,SpeedCode_2D,SpeedLabel_2D,IsMatchedSlowSpeed,T_L,T_R,A_L,A_R,R_L,R_R,L_L,L_R,N_T_L,N_T_R,N_A_L,N_A_R,N_R_L,N_R_R,N_L_L,N_L_R,TDI_Numerator,TDI_Denominator,TDI,ADI_Numerator,ADI_Denominator,ADI,Valid_TDI,Valid_ADI,Complete_AllEightMetrics
429,5/13/2020,Jim,FST,4,3,3D,1.98498916797692,0.18275774305842,Toward,1,7041,slow (~4.2 deg/s),1,5.85082989581612,8.65134003096993,5.71256195578135,5.25008340934114,7.93752562317954,3.64997375115332,5.69182776828847,6.55687266238395,21,21,21,21,7,8,8,8,0.00777164122256213,28.9965682123495,0.000268019345104853,1.62084384568069,20.3044468845643,0.0798270376383843,1,1,1
429,5/13/2020,Jim,FST,4,3,3D,1.98498916797692,0.18275774305842,Toward,2,7125,fast (~12.6 deg/s),0,5.85082989581612,8.65134003096993,5.71256195578135,5.25008340934114,9.19977785220688,6.56215969517529,7.33195208625285,7.34193867848948,21,21,21,21,8,8,8,8,-2.03954660391031,31.0438864574824,-0.0656988166318564,-2.93146641630565,24.8567571465506,-0.117934386976639,1,1,1
439,7/23/2020,Jim,FST,1,2,3D,3.83887694094312,0.701216051184801,Toward,1,7041,slow (~4.2 deg/s),1,33.6296758313054,26.9159549651679,8.92018910574398,11.4187697363771,18.5112967102145,17.4579163646075,7.57198759644409,8.30785889499903,23,22,23,23,8,8,8,8,33.7264751912598,87.3647864016868,0.386041980760896,-4.69094511893048,45.3688628031727,-0.103395695397559,1,1,1
439,7/23/2020,Jim,FST,1,2,3D,3.83887694094312,0.701216051184801,Toward,2,7125,fast (~12.6 deg/s),0,33.6296758313054,26.9159549651679,8.92018910574398,11.4187697363771,14.4059273733447,18.0465909486129,9.10025499786977,9.08003270022291,23,22,23,23,8,8,8,8,37.0596707229057,84.0315908700409,0.441020696373823,-6.80788710436154,47.4858047886037,-0.143366783708705,1,1,1
440,7/23/2020,Jim,FST,1,3,3D,7.04408133302954,0.690704757284767,Toward,1,7041,slow (~4.2 deg/s),1,25.2424341284377,31.7348228808967,10.3410258183843,7.47082473478668,16.62143284548,12.6502509117776,13.7307574071182,16.1413871224881,23,22,23,23,8,8,8,8,24.2144370413664,89.7400769773026,0.269828574444958,-8.56915776572486,44.1928588720667,-0.193903675490459,1,1,1
440,7/23/2020,Jim,FST,1,3,3D,7.04408133302954,0.690704757284767,Toward,2,7125,fast (~12.6 deg/s),0,25.2424341284377,31.7348228808967,10.3410258183843,7.47082473478668,14.5325217479644,18.3080089931533,17.9482499633339,13.8831701116376,23,22,23,23,8,8,8,8,28.5615651497325,85.3929488689365,0.334472172796955,-18.4444084033162,54.0681095096581,-0.341132852074688,1,1,1
441,7/23/2020,Jim,FST,1,4,3D,6.33582276208039,0.699111016725772,Toward,1,7041,slow (~4.2 deg/s),1,58.6513630235841,69.5845196252023,28.0410961601883,24.3112068424741,46.839987835138,41.3624445724622,46.2314495810754,47.1756584646777,23,22,23,23,8,8,8,8,34.2202363489706,222.251528948602,0.153970757865447,-35.2415911508752,139.9461971562,-0.251822427954513,1,1,1
441,7/23/2020,Jim,FST,1,4,3D,6.33582276208039,0.699111016725772,Toward,2,7125,fast (~12.6 deg/s),0,58.6513630235841,69.5845196252023,28.0410961601883,24.3112068424741,44.4806794574007,43.9048667123911,41.4615869760552,36.1790075634475,23,22,23,23,8,8,8,8,47.5761956279382,208.895569669635,0.227751099284582,-33.0141506857839,137.718756691109,-0.239721527255955,1,1,1
451,7/23/2020,Jim,FST,4,4,3D,1.35796380315393,-0.212498861545569,Away,1,7041,slow (~4.2 deg/s),1,19.1322605810485,14.0172834030589,22.581980555029,24.918087459189,11.7211945408685,9.98973697360543,8.54901051656253,9.20589856040136,23,22,23,23,8,8,8,8,12.2224508828376,54.0766370853773,0.226020912941397,28.9613205240501,66.038815504386,0.438549969481609,1,1,1
451,7/23/2020,Jim,FST,4,4,3D,1.35796380315393,-0.212498861545569,Away,2,7125,fast (~12.6 deg/s),0,19.1322605810485,14.0172834030589,22.581980555029,24.918087459189,18.9562760687563,17.6699871956567,26.4132112798512,17.6693999911278,23,22,23,23,8,8,8,8,-3.47613207577663,69.7752200439915,-0.0498190055665179,3.41686953871018,91.5832664897259,0.0373088847960396,1,1,1
